"ORIGINAL_CRIME_TYPE_NAME","TIME","MONTH","COUNT(*)"
"Petty Theft","00","02",22
"Traf Violation Cite","08","02",33
"Traf Violation Tow","11","01",22
"Petty Theft","11","01",108
"Trespasser","05","01",93
"Petty Theft","19","01",84
"Suspicious Person","09","01",319
"Traffic Stop","09","01",952
"Burglary","09","01",90
"Petty Theft","09","01",70
"Threats / Harassment","20","01",45
"Well Being Check","19","01",168
"Auto Boost / Strip","03","01",42
"Veh Accident","18","01",49
"Audible Alarm","18","01",177
"Drugs","15","01",55
"Suspicious Person","02","01",140
"Fraud","14","01",61
"Mentally Disturbed","09","01",81
"Homeless Complaint","15","01",271
"Suspicious Person","01","01",194
"Vandalism","01","01",22
"Suspicious Person","13","01",493
"Audible Alarm","13","01",117
"Auto Boost / Strip","01","01",73
"Petty Theft","14","01",119
"Threats / Harassment","14","01",58
"Vandalism","07","01",22
"Petty Theft","12","01",105
"Veh Accident","07","01",19
"Audible Alarm","22","01",160
"Petty Theft","15","01",115
"Fight No Weapon","08","01",91
"Fight No Weapon","12","01",131
"Stolen Vehicle","17","01",66
"Burglary","18","01",49
"Auto Boost / Strip","11","01",162
"Threats / Harassment","18","01",45
"Vandalism","11","01",39
"Burglary","21","01",39
"Mentally Disturbed","10","01",89
"Noise Nuisance","20","01",113
"Traf Violation Cite","10","01",40
"Threats / Harassment","06","01",16
"Mentally Disturbed","06","01",31
"Assault / Battery","10","01",57
"Well Being Check","16","01",181
"Drugs","11","01",43
"Petty Theft","07","01",38
"Trespasser","00","01",112
"Traf Violation Tow","00","01",23
"Auto Boost / Strip","02","01",48
"Burglary","22","01",27
"Assault / Battery","14","01",74
"Trespasser","02","01",95
"Traf Violation Tow","21","01",16
"Fight No Weapon","05","01",49
"Petty Theft","03","01",16
"Assault / Battery","05","01",19
"Mentally Disturbed","04","01",31
"Vandalism","06","01",13
"Traf Violation Tow","08","01",22
"Threats / Harassment","15","01",61
"Drugs","22","01",23
"Traf Violation Tow","20","01",30
"Drugs","00","01",11
"Traf Violation Cite","19","01",17
"Vandalism","21","12",69
"Assault / Battery","21","12",120
"Traf Violation Cite","19","12",236
"Audible Alarm","14","12",215
"Burglary","21","12",57
"Fraud","21","12",21
"Noise Nuisance","08","12",35
"Fight No Weapon","20","12",216
"Stolen Vehicle","20","12",51
"Audible Alarm","20","12",226
"Homeless Complaint","13","12",455
"Traffic Stop","13","12",886
"Petty Theft","19","12",141
"Traffic Stop","17","12",1536
"Audible Alarm","12","12",237
"Mentally Disturbed","12","12",153
"Threats / Harassment","12","12",78
"Audible Alarm","05","12",265
"Suspicious Person","04","12",150
"Assault / Battery","22","12",122
"Auto Boost / Strip","22","12",252
"Assault / Battery","12","12",110
"Well Being Check","11","12",268
"Stolen Vehicle","11","12",95
"Well Being Check","02","12",156
"Suspicious Person","02","12",225
"Threats / Harassment","02","12",33
"Fraud","16","12",86
"Suspicious Vehicle","01","12",196
"Traf Violation Cite","10","12",216
"Homeless Complaint","00","12",115
"Vandalism","23","12",39
"Fight No Weapon","09","12",162
"Vandalism","22","12",60
"Homeless Complaint","16","12",382
"Fight No Weapon","08","12",118
"Drugs","18","12",75
"Burglary","06","12",39
"Threats / Harassment","17","12",88
"Traf Violation Tow","04","12",17
"Drugs","19","12",62
"Assault / Battery","02","12",109
"Suspicious Person","01","12",263
"Threats / Harassment","16","12",83
"Fight No Weapon","10","12",173
"Drugs","15","12",96
"Fraud","18","12",47
"Homeless Complaint","01","12",81
"Mentally Disturbed","00","12",63
"Veh Accident","23","12",31
"Fraud","12","12",71
"Stolen Vehicle","07","12",35
"Veh Accident","14","12",80
"Traf Violation Tow","05","12",22
"Veh Accident","10","12",66
"Veh Accident","16","12",91
"Threats / Harassment","01","12",37
"Assault / Battery","07","12",57
"Petty Theft","05","12",21
"Stolen Vehicle","05","12",13
"Vandalism","06","12",19
"Homeless Complaint","02","12",73
"Mentally Disturbed","17","11",173
"Threats / Harassment","17","11",93
"Traf Violation Tow","22","11",44
"Homeless Complaint","22","11",197
"Veh Accident","22","11",31
"Suspicious Vehicle","17","11",250
"Traf Violation Tow","17","11",73
"Well Being Check","22","11",208
"Noise Nuisance","21","11",250
"Threats / Harassment","21","11",60
"Burglary","21","11",37
"Suspicious Vehicle","21","11",222
"Homeless Complaint","20","11",227
"Well Being Check","20","11",258
"Suspicious Vehicle","20","11",250
"Vandalism","19","11",67
"Mentally Disturbed","19","11",124
"Fight No Weapon","18","11",232
"Trespasser","18","11",187
"Traffic Stop","18","11",1288
"Drugs","18","11",67
"Vandalism","23","11",63
"Homeless Complaint","09","11",754
"Traffic Stop","14","11",1091
"Traf Violation Cite","08","11",328
"Fight No Weapon","08","11",136
"Assault / Battery","22","11",115
"Well Being Check","13","11",247
"Petty Theft","13","11",187
"Burglary","13","11",100
"Fight No Weapon","16","11",214
"Auto Boost / Strip","13","11",201
"Traffic Stop","12","11",839
"Well Being Check","07","11",140
"Traf Violation Tow","06","11",29
"Well Being Check","11","11",235
"Traf Violation Cite","11","11",199
"Audible Alarm","11","11",218
"Noise Nuisance","06","11",88
"Petty Theft","16","11",167
"Mentally Disturbed","15","11",161
"Well Being Check","03","11",122
"Auto Boost / Strip","15","11",198
"Suspicious Person","10","11",486
"Traf Violation Tow","10","11",83
"Traffic Stop","02","11",255
"Assault / Battery","15","11",146
"Fight No Weapon","10","11",154
"Burglary","18","11",61
"Fight No Weapon","14","11",212
"Threats / Harassment","00","11",42
"Veh Accident","09","11",45
"Fraud","09","11",41
"Noise Nuisance","07","11",40
"Mentally Disturbed","12","11",155
"Noise Nuisance","04","11",109
"Well Being Check","04","11",101
"Veh Accident","10","11",54
"Vandalism","18","11",80
"Drugs","15","11",97
"Burglary","07","11",93
"Noise Nuisance","12","11",51
"Traf Violation Cite","03","11",28
"Drugs","08","11",69
"Stolen Vehicle","22","11",31
"Vandalism","11","11",75
"Vandalism","14","11",77
"Threats / Harassment","04","11",14
"Drugs","00","11",26
"Traf Violation Tow","03","11",15
"Assault / Battery","03","11",43
"Noise Nuisance","05","11",82
"Assault / Battery","04","11",29
"Traf Violation Cite","19","10",265
"Auto Boost / Strip","19","10",203
"Petty Theft","23","10",52
"Well Being Check","23","10",221
"Traf Violation Tow","23","10",39
"Traffic Stop","22","10",1218
"Fight No Weapon","22","10",213
"Traffic Stop","21","10",706
"Noise Nuisance","21","10",296
"Auto Boost / Strip","21","10",264
"Audible Alarm","21","10",248
"Vandalism","20","10",75
"Mentally Disturbed","20","10",145
"Trespasser","11","10",244
"Suspicious Vehicle","11","10",181
"Drugs","15","10",98
"Traffic Stop","18","10",1218
"Auto Boost / Strip","14","10",230
"Fight No Weapon","14","10",243
"Vandalism","14","10",66
"Traf Violation Tow","14","10",89
"Mentally Disturbed","05","10",44
"Suspicious Vehicle","05","10",59
"Audible Alarm","14","10",207
"Mentally Disturbed","04","10",33
"Well Being Check","10","10",242
"Auto Boost / Strip","02","10",76
"Assault / Battery","18","10",156
"Fraud","17","10",88
"Vandalism","17","10",84
"Well Being Check","17","10",305
"Fight No Weapon","13","10",233
"Well Being Check","09","10",226
"Fraud","09","10",56
"Threats / Harassment","09","10",87
"Audible Alarm","02","10",223
"Trespasser","02","10",132
"Suspicious Vehicle","17","10",348
"Traffic Stop","13","10",733
"Traf Violation Tow","13","10",107
"Petty Theft","09","10",141
"Petty Theft","00","10",52
"Fight No Weapon","12","10",245
"Fight No Weapon","11","10",182
"Traf Violation Tow","05","10",48
"Auto Boost / Strip","05","10",46
"Noise Nuisance","05","10",95
"Burglary","02","10",27
"Fraud","14","10",78
"Stolen Vehicle","02","10",24
"Well Being Check","01","10",176
"Homeless Complaint","21","10",266
"Burglary","16","10",72
"Stolen Vehicle","15","10",85
"Homeless Complaint","03","10",84
"Assault / Battery","07","10",45
"Fraud","19","10",46
"Vandalism","03","10",23
"Assault / Battery","01","09",99
"Suspicious Person","01","09",274
"Trespasser","01","09",116
"Well Being Check","16","09",285
"Mentally Disturbed","16","09",177
"Mentally Disturbed","11","09",174
"Suspicious Vehicle","10","09",178
"Traf Violation Cite","10","09",293
"Fight No Weapon","10","09",185
"Suspicious Person","10","09",573
"Fight No Weapon","00","09",204
"Suspicious Vehicle","22","09",344
"Burglary","21","09",46
"Suspicious Vehicle","21","09",238
"Trespasser","16","09",234
"Mentally Disturbed","10","09",179
"Assault / Battery","16","09",138
"Noise Nuisance","21","09",230
"Traf Violation Cite","20","09",185
"Mentally Disturbed","15","09",161
"Auto Boost / Strip","15","09",207
"Drugs","15","09",133
"Threats / Harassment","15","09",91
"Well Being Check","09","09",238
"Fight No Weapon","09","09",188
"Noise Nuisance","09","09",61
"Trespasser","19","09",181
"Traf Violation Cite","19","09",264
"Assault / Battery","19","09",153
"Petty Theft","14","09",169
"Drugs","08","09",90
"Suspicious Person","08","09",409
"Suspicious Vehicle","08","09",172
"Audible Alarm","18","09",250
"Well Being Check","13","09",271
"Trespasser","13","09",180
"Suspicious Vehicle","13","09",236
"Traf Violation Cite","12","09",262
"Suspicious Person","17","09",745
"Traf Violation Tow","12","09",88
"Auto Boost / Strip","05","09",45
"Drugs","17","09",134
"Noise Nuisance","17","09",88
"Drugs","12","09",105
"Fight No Weapon","04","09",84
"Assault / Battery","17","09",139
"Well Being Check","02","09",161
"Threats / Harassment","02","09",36
"Trespasser","15","09",223
"Traf Violation Tow","18","09",77
"Vandalism","23","09",52
"Threats / Harassment","23","09",46
"Drugs","07","09",57
"Mentally Disturbed","17","09",187
"Traf Violation Cite","06","09",93
"Petty Theft","21","09",78
"Traffic Stop","06","09",181
"Threats / Harassment","11","09",82
"Stolen Vehicle","03","09",13
"Vandalism","11","09",66
"Burglary","14","09",65
"Suspicious Vehicle","06","09",79
"Auto Boost / Strip","06","09",42
"Veh Accident","20","09",52
"Mentally Disturbed","00","09",63
"Threats / Harassment","00","09",46
"Drugs","06","09",23
"Homeless Complaint","15","08",350
"Burglary","09","08",110
"Noise Nuisance","19","08",94
"Mentally Disturbed","19","08",153
"Traf Violation Tow","08","08",70
"Petty Theft","13","08",175
"Audible Alarm","13","08",222
"Traf Violation Cite","13","08",233
"Homeless Complaint","23","08",189
"Mentally Disturbed","13","08",213
"Suspicious Person","23","08",437
"Drugs","23","08",38
"Trespasser","17","08",195
"Suspicious Person","17","08",797
"Drugs","17","08",127
"Traf Violation Tow","22","08",53
"Trespasser","22","08",188
"Stolen Vehicle","17","08",83
"Petty Theft","12","08",173
"Burglary","12","08",83
"Traf Violation Cite","11","08",253
"Traf Violation Cite","21","08",138
"Assault / Battery","21","08",134
"Traffic Stop","21","08",720
"Noise Nuisance","21","08",186
"Mentally Disturbed","21","08",117
"Stolen Vehicle","15","08",77
"Traf Violation Cite","10","08",244
"Vandalism","20","08",71
"Burglary","15","08",73
"Auto Boost / Strip","20","08",186
"Auto Boost / Strip","23","08",175
"Burglary","17","08",78
"Traffic Stop","07","08",839
"Mentally Disturbed","07","08",118
"Suspicious Vehicle","07","08",154
"Burglary","21","08",57
"Threats / Harassment","16","08",92
"Traf Violation Cite","06","08",92
"Noise Nuisance","06","08",80
"Trespasser","05","08",145
"Fight No Weapon","04","08",70
"Auto Boost / Strip","15","08",213
"Suspicious Person","04","08",145
"Audible Alarm","04","08",205
"Homeless Complaint","03","08",63
"Suspicious Vehicle","02","08",156
"Burglary","01","08",30
"Burglary","19","08",58
"Mentally Disturbed","14","08",176
"Traf Violation Cite","00","08",102
"Vandalism","13","08",65
"Burglary","13","08",75
"Fraud","11","08",78
"Vandalism","05","08",24
"Threats / Harassment","19","08",82
"Mentally Disturbed","05","08",54
"Vandalism","04","08",18
"Threats / Harassment","01","08",31
"Mentally Disturbed","04","08",34
"Traf Violation Cite","04","08",31
"Traf Violation Tow","00","08",47
"Burglary","05","08",40
"Petty Theft","07","08",38
"Petty Theft","04","08",22
"Vandalism","09","08",53
"Traf Violation Tow","04","08",12
"Audible Alarm","20","07",294
"Suspicious Vehicle","20","07",237
"Traf Violation Tow","20","07",59
"Traffic Stop","19","07",859
"Noise Nuisance","19","07",122
"Mentally Disturbed","20","07",125
"Noise Nuisance","23","07",533
"Traf Violation Tow","23","07",31
"Petty Theft","22","07",72
"Suspicious Vehicle","22","07",321
"Veh Accident","22","07",43
"Noise Nuisance","18","07",118
"Noise Nuisance","17","07",76
"Suspicious Vehicle","16","07",239
"Trespasser","16","07",200
"Auto Boost / Strip","10","07",166
"Suspicious Person","10","07",468
"Suspicious Vehicle","17","07",284
"Burglary","17","07",76
"Well Being Check","17","07",292
"Vandalism","13","07",83
"Traf Violation Cite","07","07",181
"Traf Violation Tow","16","07",47
"Noise Nuisance","12","07",64
"Fight No Weapon","12","07",207
"Suspicious Person","00","07",392
"Audible Alarm","00","07",237
"Traf Violation Cite","15","07",230
"Burglary","15","07",84
"Audible Alarm","15","07",231
"Audible Alarm","12","07",241
"Suspicious Vehicle","15","07",213
"Threats / Harassment","15","07",97
"Veh Accident","10","07",53
"Fight No Weapon","06","07",67
"Suspicious Person","09","07",413
"Noise Nuisance","05","07",88
"Trespasser","05","07",137
"Noise Nuisance","06","07",78
"Traf Violation Cite","14","07",202
"Well Being Check","14","07",247
"Suspicious Vehicle","11","07",166
"Homeless Complaint","04","07",108
"Audible Alarm","03","07",218
"Fight No Weapon","03","07",117
"Drugs","09","07",88
"Well Being Check","11","07",199
"Audible Alarm","02","07",234
"Audible Alarm","01","07",232
"Noise Nuisance","02","07",332
"Mentally Disturbed","17","07",165
"Assault / Battery","01","07",104
"Homeless Complaint","20","07",239
"Mentally Disturbed","09","07",164
"Threats / Harassment","11","07",76
"Homeless Complaint","22","07",204
"Mentally Disturbed","01","07",55
"Burglary","18","07",70
"Burglary","02","07",19
"Veh Accident","08","07",44
"Stolen Vehicle","07","07",60
"Petty Theft","02","07",41
"Threats / Harassment","04","07",21
"Assault / Battery","05","07",23
"Assault / Battery","06","07",48
"Stolen Vehicle","02","07",24
"Traf Violation Tow","04","07",11
"Traf Violation Cite","23","06",103
"Suspicious Vehicle","21","06",197
"Well Being Check","20","06",272
"Fight No Weapon","20","06",221
"Audible Alarm","13","06",228
"Well Being Check","13","06",245
"Mentally Disturbed","23","06",101
"Assault / Battery","12","06",116
"Audible Alarm","19","06",316
"Drugs","17","06",148
"Veh Accident","19","06",52
"Traf Violation Cite","11","06",219
"Trespasser","11","06",196
"Traffic Stop","11","06",960
"Threats / Harassment","18","06",87
"Mentally Disturbed","16","06",174
"Vandalism","10","06",67
"Suspicious Vehicle","12","06",200
"Assault / Battery","15","06",144
"Trespasser","15","06",236
"Suspicious Vehicle","23","06",322
"Fight No Weapon","22","06",221
"Petty Theft","14","06",133
"Noise Nuisance","14","06",60
"Stolen Vehicle","13","06",103
"Veh Accident","07","06",34
"Suspicious Person","09","06",426
"Homeless Complaint","09","06",719
"Suspicious Person","00","06",300
"Audible Alarm","00","06",236
"Drugs","06","06",27
"Fight No Weapon","10","06",174
"Audible Alarm","09","06",292
"Auto Boost / Strip","08","06",89
"Audible Alarm","23","06",257
"Well Being Check","04","06",99
"Auto Boost / Strip","03","06",67
"Noise Nuisance","15","06",66
"Threats / Harassment","17","06",86
"Assault / Battery","03","06",56
"Fight No Weapon","03","06",113
"Drugs","15","06",110
"Threats / Harassment","12","06",92
"Threats / Harassment","06","06",16
"Vandalism","02","06",43
"Fight No Weapon","02","06",213
"Suspicious Vehicle","02","06",145
"Petty Theft","01","06",29
"Traffic Stop","05","06",105
"Suspicious Person","04","06",119
"Drugs","00","06",44
"Vandalism","13","06",75
"Homeless Complaint","11","06",487
"Veh Accident","13","06",64
"Drugs","13","06",94
"Traffic Stop","09","06",954
"Mentally Disturbed","06","06",70
"Suspicious Person","05","06",93
"Traf Violation Tow","05","06",22
"Noise Nuisance","10","06",51
"Mentally Disturbed","04","06",42
"Stolen Vehicle","03","06",18
"Auto Boost / Strip","01","06",89
"Burglary","01","06",42
"Homeless Complaint","02","06",82
"Veh Accident","09","06",44
"Fraud","07","06",15
"Petty Theft","05","06",24
"Mentally Disturbed","01","06",44
"Homeless Complaint","00","06",149
"Homeless Complaint","01","06",92
"Petty Theft","11","05",158
"Well Being Check","21","05",249
"Noise Nuisance","21","05",222
"Fraud","19","05",39
"Traffic Stop","18","05",1470
"Well Being Check","18","05",243
"Petty Theft","18","05",146
"Threats / Harassment","18","05",94
"Suspicious Person","18","05",645
"Trespasser","09","05",190
"Suspicious Person","17","05",715
"Petty Theft","17","05",164
"Stolen Vehicle","17","05",86
"Well Being Check","19","05",276
"Suspicious Person","19","05",583
"Mentally Disturbed","14","05",171
"Assault / Battery","12","05",133
"Traf Violation Cite","23","05",82
"Traf Violation Tow","23","05",40
"Well Being Check","05","05",114
"Threats / Harassment","05","05",22
"Traffic Stop","05","05",180
"Suspicious Person","04","05",166
"Fraud","09","05",44
"Traffic Stop","03","05",191
"Veh Accident","08","05",44
"Traffic Stop","02","05",294
"Veh Accident","21","05",37
"Trespasser","00","05",157
"Audible Alarm","00","05",257
"Drugs","00","05",27
"Homeless Complaint","23","05",244
"Petty Theft","07","05",58
"Drugs","07","05",34
"Threats / Harassment","06","05",31
"Homeless Complaint","20","05",339
"Well Being Check","04","05",97
"Trespasser","10","05",190
"Traf Violation Tow","00","05",44
"Assault / Battery","06","05",38
"Suspicious Person","03","05",208
"Vandalism","03","05",31
"Petty Theft","02","05",37
"Assault / Battery","03","05",47
"Stolen Vehicle","01","05",27
"Well Being Check","21","04",276
"Suspicious Person","16","04",753
"Fight No Weapon","15","04",229
"Veh Accident","15","04",77
"Traf Violation Cite","08","04",83
"Drugs","07","04",40
"Traffic Stop","07","04",765
"Mentally Disturbed","16","04",159
"Audible Alarm","07","04",303
"Audible Alarm","20","04",260
"Threats / Harassment","14","04",100
"Suspicious Person","14","04",699
"Petty Theft","14","04",164
"Well Being Check","05","04",107
"Audible Alarm","05","04",196
"Traffic Stop","03","04",193
"Traffic Stop","02","04",301
"Veh Accident","19","04",54
"Homeless Complaint","13","04",578
"Suspicious Person","00","04",412
"Petty Theft","19","04",162
"Burglary","19","04",57
"Threats / Harassment","11","04",67
"Well Being Check","18","04",290
"Trespasser","13","04",183
"Noise Nuisance","05","04",95
"Traffic Stop","04","04",206
"Auto Boost / Strip","18","04",165
"Traffic Stop","10","04",1159
"Traf Violation Cite","06","04",22
"Audible Alarm","10","04",279
"Auto Boost / Strip","23","04",159
"Traffic Stop","22","04",1370
"Burglary","16","04",66
"Well Being Check","09","04",206
"Petty Theft","22","04",72
"Noise Nuisance","22","04",403
"Assault / Battery","22","04",106
"Traf Violation Tow","22","04",32
"Vandalism","09","04",50
"Assault / Battery","08","04",73
"Suspicious Person","08","04",409
"Burglary","17","04",72
"Auto Boost / Strip","15","04",201
"Traf Violation Cite","21","04",49
"Fight No Weapon","11","04",183
"Homeless Complaint","19","04",420
"Noise Nuisance","21","04",225
"Traf Violation Tow","10","04",60
"Fraud","10","04",70
"Fraud","18","04",68
"Mentally Disturbed","23","04",72
"Noise Nuisance","12","04",50
"Traf Violation Cite","17","04",72
"Veh Accident","17","04",64
"Drugs","00","04",22
"Mentally Disturbed","05","04",39
"Traf Violation Cite","04","04",20
"Stolen Vehicle","14","04",86
"Noise Nuisance","14","04",46
"Burglary","22","04",45
"Veh Accident","09","04",65
"Assault / Battery","06","04",38
"Veh Accident","10","04",51
"Suspicious Vehicle","21","03",146
"Trespasser","15","03",146
"Audible Alarm","14","03",125
"Noise Nuisance","21","03",117
"Trespasser","14","03",144
"Traffic Stop","20","03",447
"Auto Boost / Strip","20","03",142
"Drugs","20","03",40
"Trespasser","20","03",126
"Trespasser","17","03",149
"Noise Nuisance","13","03",37
"Audible Alarm","19","03",217
"Audible Alarm","17","03",138
"Traf Violation Cite","17","03",29
"Well Being Check","12","03",171
"Fraud","12","03",51
"Audible Alarm","16","03",136
"Noise Nuisance","16","03",57
"Suspicious Person","23","03",287
"Trespasser","16","03",149
"Burglary","23","03",36
"Drugs","15","03",65
"Well Being Check","00","03",128
"Threats / Harassment","00","03",36
"Audible Alarm","10","03",191
"Suspicious Vehicle","10","03",120
"Suspicious Vehicle","01","03",153
"Auto Boost / Strip","00","03",88
"Mentally Disturbed","13","03",100
"Trespasser","09","03",151
"Petty Theft","09","03",52
"Suspicious Vehicle","08","03",105
"Drugs","22","03",36
"Threats / Harassment","22","03",48
"Traf Violation Tow","22","03",17
"Traf Violation Tow","17","03",22
"Stolen Vehicle","16","03",64
"Fight No Weapon","13","03",140
"Fight No Weapon","06","03",75
"Well Being Check","05","03",76
"Fight No Weapon","05","03",40
"Traffic Stop","04","03",160
"Petty Theft","04","03",12
"Well Being Check","04","03",77
"Suspicious Vehicle","03","03",87
"Audible Alarm","03","03",165
"Assault / Battery","03","03",40
"Burglary","10","03",67
"Traffic Stop","02","03",185
"Well Being Check","02","03",114
"Audible Alarm","01","03",142
"Burglary","12","03",59
"Vandalism","04","03",14
"Noise Nuisance","15","03",51
"Traf Violation Cite","20","03",21
"Veh Accident","00","03",13
"Noise Nuisance","06","03",40
"Traf Violation Cite","16","03",35
"Threats / Harassment","01","03",31
"Traf Violation Cite","21","03",14
"Assault / Battery","06","02",25
"Homeless Complaint","04","02",121
"Noise Nuisance","03","02",94
"Suspicious Person","03","02",115
"Suspicious Person","20","02",243
"Auto Boost / Strip","15","02",157
"Audible Alarm","15","02",147
"Suspicious Person","19","02",274
"Fight No Weapon","19","02",146
"Stolen Vehicle","23","02",33
"Well Being Check","15","02",180
"Traffic Stop","14","02",824
"Petty Theft","10","02",95
"Suspicious Person","10","02",317
"Mentally Disturbed","19","02",64
"Assault / Battery","10","02",49
"Vandalism","12","02",40
"Petty Theft","22","02",43
"Traffic Stop","22","02",758
"Suspicious Person","18","02",303
"Well Being Check","10","02",134
"Well Being Check","11","02",146
"Vandalism","13","02",33
"Threats / Harassment","11","02",41
"Audible Alarm","08","02",214
"Traf Violation Tow","13","02",19
"Suspicious Vehicle","08","02",105
"Noise Nuisance","08","02",22
"Suspicious Vehicle","17","02",192
"Drugs","17","02",49
"Traf Violation Tow","22","02",17
"Vandalism","08","02",28
"Homeless Complaint","05","02",248
"Suspicious Vehicle","12","02",155
"Petty Theft","04","02",16
"Well Being Check","07","02",83
"Traf Violation Tow","16","02",19
"Traf Violation Cite","03","02",20
"Mentally Disturbed","16","02",112
"Suspicious Vehicle","06","02",44
"Stolen Vehicle","06","02",16
"Veh Accident","06","02",16
"Veh Accident","11","02",34
"Threats / Harassment","01","02",15
"Stolen Vehicle","16","02",55
"Assault / Battery","07","02",33
"Suspicious Vehicle","07","02",65
"Assault / Battery","05","02",15
"Noise Nuisance","20","02",84
"Assault / Battery","04","02",22
"Burglary","19","02",38
"Auto Boost / Strip","03","02",40
"Stolen Vehicle","01","02",18
"Traf Violation Cite","01","02",41
"Traf Violation Cite","00","02",47
"Mentally Disturbed","10","02",96
"Traf Violation Cite","10","02",51
"Assault / Battery","08","02",41
"Veh Accident","19","02",26
"Vandalism","22","02",36
"Drugs","00","02",13
"Burglary","11","01",57
"Trespasser","10","01",125
"Auto Boost / Strip","05","01",23
"Noise Nuisance","05","01",53
"Audible Alarm","04","01",151
"Suspicious Vehicle","04","01",70
"Well Being Check","17","01",197
"Fraud","16","01",64
"Threats / Harassment","16","01",61
"Assault / Battery","15","01",81
"Traffic Stop","15","01",1067
"Homeless Complaint","10","01",539
"Noise Nuisance","10","01",23
"Auto Boost / Strip","04","01",33
"Homeless Complaint","16","01",316
"Burglary","16","01",61
"Well Being Check","15","01",174
"Auto Boost / Strip","15","01",171
"Suspicious Person","03","01",112
"Mentally Disturbed","14","01",97
"Homeless Complaint","14","01",329
"Traffic Stop","08","01",798
"Noise Nuisance","01","01",193
"Traffic Stop","13","01",861
"Well Being Check","13","01",161
"Veh Accident","15","01",69
"Audible Alarm","15","01",115
"Homeless Complaint","07","01",899
"Traffic Stop","07","01",442
"Suspicious Person","00","01",247
"Homeless Complaint","06","01",481
"Stolen Vehicle","18","01",50
"Stolen Vehicle","07","01",44
"Veh Accident","14","01",52
"Noise Nuisance","12","01",25
"Vandalism","08","01",33
"Mentally Disturbed","22","01",50
"Audible Alarm","21","01",151
"Trespasser","21","01",135
"Homeless Complaint","21","01",196
"Noise Nuisance","21","01",129
"Fight No Weapon","22","01",120
"Petty Theft","21","01",52
"Suspicious Vehicle","20","01",124
"Assault / Battery","20","01",83
"Well Being Check","20","01",159
"Noise Nuisance","06","01",35
"Vandalism","20","01",50
"Suspicious Vehicle","06","01",38
"Assault / Battery","02","01",72
"Traf Violation Cite","05","01",37
"Vandalism","00","01",19
"Threats / Harassment","17","01",49
"Petty Theft","02","01",16
"Traf Violation Tow","16","01",21
"Fight No Weapon","04","01",63
"Traf Violation Tow","04","01",12
"Threats / Harassment","13","01",46
"Traf Violation Tow","19","01",20
"Traf Violation Cite","03","01",13
"Traf Violation Tow","10","01",13
"Fraud","08","01",16
"Traf Violation Tow","12","01",26
"Assault / Battery","06","01",27
"Vandalism","03","01",11
"Fight No Weapon","21","12",221
"Well Being Check","14","12",271
"Petty Theft","08","12",75
"Traf Violation Cite","21","12",153
"Well Being Check","19","12",287
"Trespasser","19","12",212
"Burglary","18","12",63
"Suspicious Vehicle","14","12",225
"Petty Theft","14","12",186
"Vandalism","14","12",80
"Trespasser","08","12",271
"Suspicious Person","08","12",394
"Traffic Stop","20","12",566
"Threats / Harassment","20","12",68
"Drugs","20","12",55
"Suspicious Person","13","12",678
"Traf Violation Tow","18","12",100
"Traf Violation Tow","13","12",94
"Homeless Complaint","19","12",264
"Petty Theft","18","12",143
"Fight No Weapon","13","12",219
"Threats / Harassment","13","12",65
"Homeless Complaint","12","12",579
"Audible Alarm","06","12",272
"Petty Theft","12","12",182
"Petty Theft","06","12",26
"Veh Accident","12","12",89
"Trespasser","12","12",209
"Well Being Check","05","12",77
"Well Being Check","04","12",94
"Fight No Weapon","22","12",233
"Trespasser","04","12",112
"Vandalism","03","12",27
"Stolen Vehicle","03","12",11
"Well Being Check","03","12",123
"Trespasser","03","12",131
"Veh Accident","22","12",36
"Auto Boost / Strip","16","12",202
"Suspicious Vehicle","11","12",184
"Fight No Weapon","11","12",205
"Homeless Complaint","22","12",201
"Fight No Weapon","16","12",246
"Trespasser","01","12",106
"Assault / Battery","01","12",91
"Veh Accident","21","12",35
"Stolen Vehicle","10","12",102
"Threats / Harassment","10","12",60
"Suspicious Person","00","12",325
"Well Being Check","00","12",192
"Suspicious Person","15","12",679
"Vandalism","10","12",54
"Threats / Harassment","15","12",91
"Traf Violation Tow","09","12",73
"Traf Violation Cite","09","12",253
"Noise Nuisance","15","12",65
"Fraud","15","12",100
"Mentally Disturbed","22","12",106
"Vandalism","16","12",83
"Homeless Complaint","21","12",224
"Traffic Stop","07","12",563
"Homeless Complaint","18","12",298
"Suspicious Person","05","12",75
"Veh Accident","17","12",81
"Suspicious Vehicle","05","12",46
"Audible Alarm","01","12",228
"Traf Violation Tow","00","12",47
"Stolen Vehicle","00","12",26
"Burglary","23","12",45
"Assault / Battery","00","12",92
"Vandalism","11","12",56
"Stolen Vehicle","06","12",28
"Burglary","05","12",34
"Drugs","05","12",14
"Mentally Disturbed","20","12",115
"Petty Theft","04","12",16
"Burglary","16","12",77
"Stolen Vehicle","23","12",30
"Fraud","20","12",22
"Fraud","17","11",71
"Trespasser","22","11",203
"Stolen Vehicle","21","11",34
"Traffic Stop","20","11",639
"Burglary","20","11",47
"Assault / Battery","19","11",126
"Threats / Harassment","19","11",79
"Suspicious Vehicle","19","11",255
"Auto Boost / Strip","19","11",209
"Suspicious Person","23","11",396
"Well Being Check","23","11",183
"Petty Theft","14","11",174
"Well Being Check","09","11",195
"Audible Alarm","13","11",216
"Veh Accident","13","11",67
"Stolen Vehicle","08","11",81
